drainage,tsc_drainage,tsc_criteria
poor,poorly-drained,6
High level of surface runoff,poorly-drained,6
moist waterlogged,permanently-inundated,3
Perched lake on unfilled sinkhole,permanently-inundated,3
Lake bed is impermeable.  Surface drainage northwards into lake.,permanently-inundated,3
Surface drainage enters lake from south.,poorly-drained,6
"Poor, impervious soils",poorly-drained,6
Excessive,well-drained,1
coarse sands,well-drained,1
poor -base of pools impervious,poorly-drained,6
"poor, impervious clay/loam soils",poorly-drained,6
water repellent,poorly-drained,6
Poor,poorly-drained,6
Good,well-drained,1
presumably permeable,well-drained,1
moderate,moderately-drained,5
Originally would have been free draining but flooding from urban storm water runoff is now a serious threat,seasonally-inundated,2
free,well-drained,1
poor - impervious clay and loams,poorly-drained,6
inundated,permanently-inundated,3
Winter-wet,seasonally-inundated,2
well drained,well-drained,1
impeded,poorly-drained,6
"inundated seasonally, soil drainage excessive or free",seasonally-inundated,2
Seasonally inundated wetland in a sandy depression  with no clear drainage lines indicating good internal drainage thought the sandy soil. Recorded as containing freshwater to 20cm in October but drying out in summer,seasonally-inundated,2
"inundated, waterlogged",permanently-inundated,3
inundated/waterlogged,permanently-inundated,3
"inundated, impeded drainage",permanently-inundated,3
moderate to well drained,moderately-drained,5
"generally inundated, raised peat-mounds also wet",permanently-inundated,3
water-filled aquifer,permanently-inundated,3
"mound damp but not wet throughout, moat permanently inundated, no outflow",permanently-inundated,3
drainage depression at base of swale but well drained,well-drained,1
Well drained,well-drained,1
community best described as a wetland and therefore is likely to be dependant on groundwater processes,permanently-inundated,3
Poor; clay  based wetlands,poorly-drained,6
"poor, clay impeding layer",poorly-drained,6
well to moderately drained,moderately-drained,5
inundated: springfed wetland with peat mound,permanently-inundated,3
Partial blocking of the original channel of the Cane River has promoted greater volumes of water passing into the swamp and higher sedimentation rates.,permanently-inundated,3
"Poor, clay impeding layer",poorly-drained,6
moderately well drained,moderately-drained,5
good,well-drained,1
gentle N slope,,
partially inundated: springfed wetland with peat mound surrounded by moat,permanently-inundated,3
Free draining magnesite soils on upperslopes,well-drained,1
This wetland is composed of microscale paluslopes associated with seepage and creeks in the area between Coyanerup Peak and Bluff Knoll,permanently-inundated,3
"(KM 20) Mosaic: Open Eucalyptus Woodland, Shrublands of Mixed Acacias and Dense Shrubland of Allocasuarina",,
seasonally inundated,seasonally-inundated,2
"Poor, impeding clay layer",poorly-drained,6
Ephemeral,,
Alluvial infills along the Fortescue River Valley caused by blockage of the river by the Goodiadarrie Hills,permanently-inundated,3
Varied.  Water occurs at the bottom of some bores due to the spatially discrete clay zones of reduced permeability within the overall mesa stratigraphy.  Well-developed joint sets and fracture zones provide primary pathways for water movement.,moderately-drained,5
occurs downstream of the Fortescue Marsh and Goodiadarrie Hills,,
Perched wetland,permanently-inundated,3
Soil is free draining yellow sand with a small low lying sump area in the middle of the reserve,well-drained,1
Surface flow as a result of runoff from mesa landform. Creek systems at Mesa A are ephemeral and only flow in direct response to rainfall and as such surface water flows have a similar seasonality to rain.,seasonally-inundated,2
Upper Rudall drains into Lake Dora,permanently-inundated,3
"(KM28) Open Woodland of Eucalyptus kochii subsp. ?plenissima or Shrubland of Acacia tetragonophylla, A. burkittii and A. assimilis subsp. assimilis over mixed species including Rhagodia drummondii, Scaevola spinescens, Philotheca brucei",,
"Poor, ironstone impedes drainage",poorly-drained,6
"poor, ironstone impedes drainage and water runs off into nearby creek",poorly-drained,6
"Poor, clays are impermeable, ground wet 05/2008 good conditions",poorly-drained,6
"Poor, clays are impermeable",poorly-drained,6
erosial surfaces of gently undulating plains pediments and rises,,
Catchment ~435km2 N of lakes,,
Impermeable,poorly-drained,6
"Isolated from major surface drainage, fed by groundwater flow & direct rainfall",permanently-inundated,3
Exchange of marine waters with open ocean is limited by Faure Sill,,
Cave has subsurface connections with seawater,,
Water discharges from this aquifer into pools in Millstream Chichester NP,permanently-inundated,3
"(KM3 Mosaic of : Open Eucalypt Woodland, Dense Acacia Shrubland and Mixed Acacia Shrubland communities)",,
numerous shallow massive outflow ponds,permanently-inundated,3
good: dry soil,well-drained,1
Poor subsoil drainage in winter,poorly-drained,6
Well drained.,well-drained,1
Seasonally inundated,seasonally-inundated,2
Poor where ironstone substrate close to surface,poorly-drained,6
Very porous sands,well-drained,1
"Poor, clay impedes drainage",poorly-drained,6
"Poor, clay impeding layer in soil structure",poorly-drained,6
Porous sands,well-drained,1
Waterlogged,permanently-inundated,3
"The artesian spring at this site is no longer active, possibly due to human disturbance. Areas of adjoining palusplain require further expert assessment with care taken to not disrupt values",,
poor-well drained,poorly-drained,6
"Poor, peat impeding layer. Free standing water",poorly-drained,6
"sumpland, dampland, floodplain, creek, artificial channel",permanently-inundated,3
"sumpland, dampland palusplain, floodplain, creek, river",permanently-inundated,3
"palusplain, creek and artificial channel",permanently-inundated,3
well,well-drained,1
Moderate to poor.  Wet in winter,seasonally-inundated,2
well to moderate,moderately-drained,5
Well.,well-drained,1
Well,well-drained,1
well.,well-drained,1
Moderate,moderately-drained,5
Poor drainage.,poorly-drained,6
seasonally wet,seasonally-inundated,2
seasonally to permanently wet,seasonally-inundated,2
poorly drianed,poorly-drained,6
Seasonally waterlogged,seasonally-inundated,2
"well, sumpland, dampland, creek",permanently-inundated,3
"palusplain, sumpland",seasonally-inundated,2
"lake, sumpland, river",permanently-inundated,3
"lake, sumpland",permanently-inundated,3
"sumpland, artificial channel",seasonally-inundated,2
sumpland,seasonally-inundated,2
"sumpland, dampland",seasonally-inundated,2
"moderate sumpland, dampland",moderately-drained,5
"well sumpland, dampland",well-drained,1
"sumpland, river, artificial channel",seasonally-inundated,2
