landform,tsc_landforms,tsc_criteria
SLOPE,slope,20
RIDGE,ridge,9
FLAT,flat,29
CD_LKBED,depression-lakebed,54
CREST,crest,5
OUTCROP,outcrop,14
RI_BRKWY,ridge-breakaway,10
FL_CLYPN,flat-claypan,33
OPEN_DPN,depression-open,61
FL_PLAIN,flat-floodplain,34
OD_CREEK,depression-creek,43
OD_SWAMP,depression-swamp-open,48
OD_DRGLN,drainageline,49
RI_DUNE,ridge-dune,11
OD_GORGE,depression-gorge,38
OD_GULLY,depression-gully,39
OD_RVRBK,depression-riverbank,42
OD_SWALE,depression-swale,40
SL_CLIFF,slope-cliff,27
FL_PALU,flat-plalusplain,36
CR_SUMMT,crest-summit-surface,3
RI_SADDL,ridge-saddle,13
CD_LAKE,depression-lake,53
CD_SMPLD,depression-sumpland-swamp,55
WETLAND,wetland,59
CD_LAGN,depression-lagoon,52
SL_MI_GE,slope-mid-gentle,24
SL_UP_ST,slope-upper-steep,63
CLSD_DPN,depression-closed,50
HILL,hill,6
FL_FLOOD,flat-floodplain,34
CD_DMPLD,depression-dampland,58
CD_PIT,depression-pit,51
CR_HILL,crest-hill-crest,1
SL_LO_GE,slope-lower-gentle,25
CD_SWAMP,depression-swamp-closed,57
OD_WADI,depression-wadi,44
OU_SLOPE,outcrop-slope,16
SL_UP_GE,slope-upper-gentle,23
FL_VALLY,flat-valley-flat,31
OU_CREST,outcrop-crest,15
CR_DUNE,crest-dune-crest,2
OU_RIDGE,outcrop-ridge,17
SL_MI_ST,slope-mid-steep,62
RI_EMBNK,ridge-embankment,12
OU_FLAT,outcrop-flat,18
OD_RIVER,depression-river,41
SL_LO_ST,slope-lower-steep,64
OU_GNAMA,outcrop-gnamma-hole,19
SL_PALU,slope-paluslope,28
OD_STRM,depression-stream-channel,47
HI_TOR,hill-tor,7
