sample_destination,tsc_sample_destination,tsc_criteria
Not retained,,
WA Museum,wa-museum,1
Unknown location,,
Residency museum albany,museum,6
Retained as photo,retained-collector,5
Retained by collector,retained-collector,5
Dirk Hartog enclosures,other-institution,7
Observer's aviary,retained-collector,5
Murdoch Uni,university,4
South Australian Museum,museum,6
Australian Museum,museum,6
DPaW District/Region,department,3
CALM District Office,department,3
Animal Health Centre,other-institution,7
Perth Zoo,other-institution,7
DPaW Science,department,3
CALM Wildlife Branch,department,3
CALM SID,department,3
Queensland Museum,museum,6
Brittish Museum,museum,6
American Museum of Natural History,museum,6
Dist freezer,department,3
SA Museum,museum,6
Los Angeles County Museum (LACM 56512),museum,6
WAM,wa-museum,1
Not Retained,,
UWA,university,4
Liverpool Museum,museum,6
Z.M. Upps.,museum,6
"Australian Museum, Sydney",museum,6
USNM,museum,6
Australian National Insect Collection,museum,6
Australian Insect Collection,museum,6
Aust. Nat. Insect Collection,museum,6
British Museum,museum,6
WAMP,wa-museum,1
"Australian National Insect Collection, Canberra",museum,6
Unknown,,
The Field Museum,museum,6
Curtin University,university,4
Malleefowl Preservation Group,other-institution,7
David Pearson,,
WA Museum?,wa-museum,1
Dept of Ag,university,4
"WA Museum, University Museum-Oxford",wa-museum,1
BMNH,museum,6
"Natural History Museum, London",museum,6
Uni Tas,university,4
Museum Victoria,museum,6
ANIC,museum,6
Not reatined,,
University of Western Australia,university,4
University Museum Oxford,university,4
"University Museum, Oxford",university,4
Albany Museum,museum,6
NTM,museum,6
APB Forrestfield,other-institution,7
CALM Woodvale,department,3
British Museum of Natural History,museum,6
South Australian University,university,4
Harvard University,university,4
ECU,university,4
FMNH,museum,6
University,university,4
US Museum of History,museum,6
not retained,,
for Paul DeTores,,
Tony Start,,
MCZ,,
MV,,
California Academy of Sciences Herpetology Dept.,university,4
"Museum of Comparative Zoology, Harvard University",university,4
Australian Biological Tissue Collection,museum,6
National Museum Melbourne,museum,6
British Museum of Natual History,museum,6
Dec,department,3
CALM Region Office,department,3
Field Museum of Natural History,museum,6
"Field Museum of Natural History, Chicago USA",museum,6
Aust. Museum,museum,6
University of Michigan Museum of Zoology U.S.A.,university,4
South Australiam Museum,museum,6
Australian National Insect Collection Database,museum,6
WA Museum & Collector,wa-museum,1
Birds Australia,other-institution,7
Rockingham Environment Centre,other-institution,7
held at Woodvale,department,3
AHL,,
"National Museum of Natural History, Smithsonian",museum,6
WRB7,,
WRB3,,
WRB11,,
WRB6,,
WRB10,,
RecWAM1990S32,,
Storr-Johnstone,,
RecWAM1990Supp3,,
Rio Tinto Bird,other-institution,7
Mitchell Platea,,
WWLZ,,
CALM,department,3
DEC,department,3
WR&M,,
Retained by collec,retained-collector,5
MJP Science freezer,,
DEC Science,department,3
Mt Barker Wildlife Carer,other-institution,7
Busselton Vets,other-institution,7
Other institution,other-institution,7
Retained by colletor,retained-collector,5
Other museum,museum,6
CSIRO,other-institution,7
Ongerup Museum,museum,6
Busselton Vet,other-institution,7
Natural Histority Museum London,museum,6
Bronte Van Helden - UWA PhD,university,4
DBCA District/Region,department,3
DBCA Albany Office,department,3
DBCA Albany,department,3
DBCA Frankland District,department,3
DBCA Busselton,department,3
DBCA Collie,department,3
DBCA Mandurah,department,3
DBCA Swan Coastal,department,3
DBCA Bunbury,department,3
