list_code_wa,criteria_code_wa,assigned_as_in_tsc,tsc_criteria,comments_MP,actions_required
IUCN_1994,,,,,
IUCN_1994,A1ac; B1+2a-e; D,"A1a,A1c,B1,B2a-e,D","86,88,95,96,97,98,99,100,108",,
IUCN_1994,A1c; D1,"A1c,D1","88,109",,
IUCN_1994,A1ce; B2ab(i; ii; iii; iv; v); C1,"A1c,A1e,B2a,B2b,C1","88,90,96,97,105","No B2b(I,ii,iii,iv,v)",Needs checking and updating at source
IUCN_1994,A2c,A2c,92,,
IUCN_1994,A2C+B6:B51; B1+2a,"A2c, B1,B2a","92,95,96",no B6:B51,Needs checking and updating at source
IUCN_1994,A2C; B1+2a,"A2c, B1,B2a","92,95,96",,
IUCN_1994,A2c; B1+2c,"A2c,B1,B2c","92,95,98",,
IUCN_1994,A2c; B1+2d,"A2c,B1,B2d","92,95,99",no B1+2d,Needs checking and updating at source
IUCN_1994,A2c; B1a; b(ii; v)+2a; b(ii; iv); C1,"A2c,B1, B2a,B2b,C1","92,95,96,97,105","no B1a, B1b(ii,v) or B2b(ii,iv)",Needs checking and updating at source
IUCN_1994,A2c; C1,"A2c, C1","92,105",,
IUCN_1994,A2c (IUCN 2000),A2c ,92,,
IUCN_1994,"A3ce; B1ab(iii,iv,v)+2ab(iii,iv,v)","B1,B2a,B2b","95,96,97","no A3ce,B1a,B1b(iii,iv,v),B2b(iii,iv,v)",Needs checking and updating at source
IUCN_1994,B1,B1,95,,
IUCN_1994,B1+2a-e,"B1,B2a-e","95,96,97,98,99,100",,
IUCN_1994,B1+2c,"B1,B2c","95,98",,
IUCN_1994,B1+2Ca,"B1,B2c","95,98",B2Ca,
IUCN_1994,B1+2c; C1,"B1,B2c,C1","95,98,105",,
IUCN_1994,B1+2c; C2a,"B1,B2c,C2a","95,98,106",,
IUCN_1994,B1+2c; C2a; D1,"B1,B2c,C2a,D1","95,98,106,109",,
IUCN_1994,B1+2ce,"B1,B2c-e","95,98,99,100",,
IUCN_1994,B1+2ce; D,"B1,B2c-e,D","95,98,99,100,108",,
IUCN_1994,B1+2d,"B1,B2d","95,99",,
IUCN_1994,B1+2de,"B1,B2d-e","95,99,100",,
IUCN_1994,B1+2e,"B1,B2e","95,100",,
IUCN_1994,B1+2e; C2b,"B1,B2e,C2b","95,100,107",,
IUCN_1994,B1+2e; D,"B1,B2e,D","95,100,108",,
IUCN_1994,B1+3cd; C2a; D1,"B1,B3c-d,C2a,D1","95,102,103,106,109",,
IUCN_1994,B1+3d,"B1,B3d","95,104",,
IUCN_1994,B1+3d; C2a,"B1,B3d,C2a","95,104,106",,
